Attack 9 10	
Sharon B-Individual NNP O
told O VBD O
party B-Non-Governmental NN O
critics B-Group NNS O
he B-Individual PRP O
was O VBD O
committed O VBN O
to O TO O
finding O VBG O
a O DT O
political O JJ O
solution O NN O
to O TO O
the O DT O
conflict O NN B-Attack-T
, O , O
including O VBG O
an O DT O
Israeli B-Nation JJ O
withdrawal O NN O
from O IN O
West B-Region-General NNP O
Bank I-Region-General NNP O
population O NN O
centers B-Population-Center NNS O

Attack 1 2	
The O DT O
violence O NN B-Attack-T
erupted O VBD O
after O IN O
Sharon B-Individual NNP O
endured O VBD O
withering O JJ O
criticism O NN O
Monday B-Time NNP O
from O IN O
members B-Group NNS O
of O IN O
his B-Individual PRP$ O
own O JJ O
Likud B-Non-Governmental NNP O
Party I-Non-Governmental NNP O
over O IN O
his B-Individual PRP$ O
Cabinet B-Government NNP O
's O POS O
acceptance O NN O
of O IN O
the O DT O
U.S.-backed O JJ O
`` O `` O
road O NN O
map O NN O
'' O '' O
peace O NN O
plan O NN O

Attack 21 22	
In O IN O
a O DT O
village B-Population-Center NN O
near O IN O
the O DT O
West B-Region-General NNP O
Bank I-Region-General NNP O
town B-Population-Center NN O
of O IN O
Qalqiliya B-Population-Center NNP O
, O , O
an O DT O
11-year-old B-Time JJ O
Palestinian B-Special JJ O
boy B-Individual NN O
was O VBD O
killed O VBN O
during O IN O
an O DT O
exchange O NN O
of O IN O
gunfire O NN B-Attack-T

Attack 36 37	Place 2 3	Time-Within 11 12	Attacker 14 15	Target 39 40	
In O IN O
a O DT O
village B-Population-Center NN B-Place
near O IN O
the O DT O
West B-Region-General NNP O
Bank I-Region-General NNP O
city B-Population-Center NN O
of O IN O
Nablus B-Population-Center NNP O
on O IN O
Tuesday B-Time NNP B-Time-Within
, O , O
Israeli B-Nation NNP O
troops B-Group NNS B-Attacker
opened O VBD O
fire O NN O
on O IN O
youths B-Group NNS O
throwing O VBG O
stones B-Projectile NNS O
, O , O
hitting O VBG O
a O DT O
9-year-old B-Time JJ O
Palestinian B-Special JJ O
boy B-Individual NN O
in O IN O
the O DT O
head O NN O
and O CC O
critically O RB O
wounding O VBG O
him B-Individual PRP O
, O , O
and O CC O
hitting O VBG B-Attack-T
two O CD O
12-year-old B-Time JJ O
boys B-Group NNS B-Target
in O IN O
the O DT O
legs O NNS O
, O , O
lightly O RB O
wounding O VBG O
them B-Group PRP O
, O , O
Palestinian B-Special JJ O
hospital B-Medical-Science NN O
officials B-Group NNS O
said O VBD O

Attack 16 17	Instrument 15 16	Target 25 26	
Peter B-Individual NNP O
Lundberg I-Individual NNP O
, O , O
an O DT O
official B-Individual NN O
from O IN O
the O DT O
Swedish B-Nation NNP O
Consulate B-Government NNP O
in O IN O
Jerusalem B-Population-Center NNP O
, O , O
said O VBD O
that O IN O
two O CD O
bullets B-Projectile NNS B-Instrument
hit O VBD B-Attack-T
the O DT O
windshield O NN O
of O IN O
the O DT O
Swiss B-Nation JJ O
Consulate B-Government NNP O
's O POS O
armored O JJ O
car B-Land NN B-Target
, O , O
and O CC O
that O IN O
small-arms O NNS O
fire O NN O
also O RB O
was O VBD O
directed O VBN O
at O IN O
other O JJ O
cars B-Land NNS O
from O IN O
Sweden B-Nation NNP O
, O , O
Denmark B-Nation NNP O
and O CC O
the O DT O
European B-GPE-Cluster NNP O
Union I-GPE-Cluster NNP O

Attack 5 6	Time-Within 1 2	Attacker 4 5	Target 9 10	Place 14 15	
Also O RB O
Monday B-Time NNP B-Time-Within
, O , O
Israeli B-Nation NNP O
soldiers B-Group NNS B-Attacker
fired O VBD B-Attack-T
on O IN O
four O CD O
diplomatic O JJ O
vehicles B-Land NNS B-Target
in O IN O
the O DT O
northern O JJ O
Gaza B-Region-General NNP O
town B-Population-Center NN B-Place
of O IN O
Beit B-Population-Center NNP O
Hanoun I-Population-Center NNP O
, O , O
diplomats B-Group NNS O
said O VBD O

Attack 6 7	
There O EX O
were O VBD O
no O DT O
injuries O NNS O
from O IN O
the O DT O
incident O NN B-Attack-T

Attack 12 13	Attacker 14 15	Instrument 16 17	Instrument 19 20	
The O DT O
shootings O NNS O
_ O VBP O
which O WDT O
the O DT O
Israeli B-Nation JJ O
army B-Government NN O
said O VBD O
came O VBD O
in O IN O
response O NN O
to O TO O
attacks O NNS B-Attack-T
by O IN O
Palestinians B-Group NNPS B-Attacker
throwing O VBG O
stones B-Projectile NNS B-Instrument
and O CC O
molotov O NN O
cocktails B-Exploding NNS B-Instrument
_ O VBP O
came O VBD O
a B-Time DT O
day I-Time NN O
after I-Time IN O
Israeli B-Nation JJ O
Prime I-Time NNP O
Minister I-Time NNP O
Ariel I-Time NNP O
Sharon I-Time NNP O
declared I-Time VBD O
that I-Time IN O
Israel B-Nation NNP O
's I-Time POS O
occupation I-Time NN O
in I-Time IN O
the I-Time DT O
West B-Region-General NNP O
Bank I-Region-General NNP O
must I-Time MD O
end I-Time VB O
, I-Time , O
stunning I-Time JJ O
both I-Time CC O
dovish I-Time JJ O
opponents I-Time NNS O
and I-Time CC O
hardline I-Time NN O
allies I-Time NNS O

Attack 21 22	Attacker 1 2	Place 24 26	Time-Starting 28 29	
Israeli B-Nation JJ O
troops B-Group NNS B-Attacker
shot O VBN O
and O CC O
killed O VBN O
a O DT O
16-year-old B-Time JJ O
Palestinian B-Special JJ O
boy B-Individual NN O
and O CC O
critically O RB O
injured O JJ O
two O CD O
children B-Group NNS O
, O , O
ages O NNS O
7 B-Time CD O
and O CC O
9 B-Time CD O
, O , O
during O IN O
conflicts O NNS B-Attack-T
in O IN O
the O DT O
West B-Region-General NNP B-Place
Bank I-Region-General NNP I-Place
that O IN O
erupted O VBD O
Tuesday B-Time NNP B-Time-Starting
as O IN O
Israeli B-Nation NNP O
and O CC O
Palestinian B-Special JJ O
leaders B-Group NNS O
moved O VBD O
toward O IN O
talks O NNS O
on O IN O
a O DT O
new O JJ O
Mideast B-GPE-Cluster NN O
peace O NN O
plan O NN O

Attack 22 23	Place 2 3	Time-Within 11 12	Attacker 14 15	Target 26 27	
In O IN O
a O DT O
village B-Population-Center NN B-Place
near O IN O
the O DT O
West B-Region-General NNP O
Bank I-Region-General NNP O
city B-Population-Center NN O
of O IN O
Nablus B-Population-Center NNP O
on O IN O
Tuesday B-Time NNP B-Time-Within
, O , O
Israeli B-Nation NNP O
troops B-Group NNS B-Attacker
opened O VBD O
fire O NN O
on O IN O
youths B-Group NNS O
throwing O VBG O
stones B-Projectile NNS O
, O , O
hitting O VBG B-Attack-T
a O DT O
9-year-old B-Time JJ O
Palestinian B-Special JJ O
boy B-Individual NN B-Target
in O IN O
the O DT O
head O NN O
and O CC O
critically O RB O
wounding O VBG O
him B-Individual PRP O
, O , O
and O CC O
hitting O VBG O
two O CD O
12-year-old B-Time JJ O
boys B-Group NNS O
in O IN O
the O DT O
legs O NNS O
, O , O
lightly O RB O
wounding O VBG O
them B-Group PRP O
, O , O
Palestinian B-Special JJ O
hospital B-Medical-Science NN O
officials B-Group NNS O
said O VBD O

Attack 7 8	Attacker 3 4	Target 9 10	
The O DT O
army B-Government NN O
said O VBD O
troops B-Group NNS B-Attacker
fired O VBD O
, O , O
and O CC O
hit O VBD B-Attack-T
a O DT O
boy B-Individual NN B-Target
, O , O
after O IN O
a O DT O
Palestinian B-Special JJ O
youth B-Individual NN O
threw O VBD O
a O DT O
molotov O JJ O
cocktail B-Exploding NN O

Attack 15 16	Attacker 14 15	Instrument 18 19	
The O DT O
army B-Government NN O
said O VBD O
troops B-Group NNS O
fired O VBD O
, O , O
and O CC O
hit O VBD O
a O DT O
boy B-Individual NN O
, O , O
after O IN O
a O DT O
Palestinian B-Special JJ O
youth B-Individual NN B-Attacker
threw O VBD B-Attack-T
a O DT O
molotov O JJ O
cocktail B-Exploding NN B-Instrument

Attack 16 17	Attacker 1 2	Target 19 20	Place 24 25	Time-Within 30 31	
Israeli B-Nation JJ O
soldiers B-Group NNS B-Attacker
shot O VBN O
and O CC O
killed O VBN O
a O DT O
16-year-old B-Time JJ O
Palestinian B-Special JJ O
boy B-Individual NN O
and O CC O
wounded O VBD O
a O DT O
7-year-old B-Time JJ O
boy B-Individual NN O
after O IN O
opening O VBG O
fire O NN B-Attack-T
at O IN O
stone B-Projectile NN O
throwers B-Group NNS B-Target
in O IN O
the O DT O
Tulkarem B-Population-Center NNP O
refugee B-Group NN O
camp B-Building-Grounds NN B-Place
in O IN O
the O DT O
West B-Region-General NNP O
Bank I-Region-General NNP O
on O IN O
Tuesday B-Time NNP B-Time-Within
, O , O
Palestinian B-Special NNP O
hospital B-Medical-Science NN O
officials B-Group NNS O
said O VBD O

Attack 4 5	Attacker 3 4	
The O DT O
army B-Government NN O
said O VBD O
troops B-Group NNS B-Attacker
fired O VBD B-Attack-T
, O , O
and O CC O
hit O VBD O
a O DT O
boy B-Individual NN O
, O , O
after O IN O
a O DT O
Palestinian B-Special JJ O
youth B-Individual NN O
threw O VBD O
a O DT O
molotov O JJ O
cocktail B-Exploding NN O

Attack 9 10	
Critics B-Group NNS O
have O VBP O
said O VBN O
Sharon B-Individual NNP O
's O POS O
long-held O JJ O
condition O NN O
that O IN O
all O DT O
violence O NN B-Attack-T
must O MD O
stop O VB O
before O IN O
peace O NN O
moves O NNS O
is O VBZ O
unrealistic O JJ O
and O CC O
guarantees O NNS O
failure O NN O
of O IN O
any O DT O
peace O NN O
initiative O NN O
, O , O
including O VBG O
the O DT O
road O NN O
map O NN O
, O , O
thus O RB O
releasing O VBG O
him B-Individual PRP O
from O IN O
the O DT O
necessity O NN O
of O IN O
following O VBG O
through O IN O
on O IN O
his B-Individual PRP$ O
remarks O NNS O

Attack 17 18	Attacker 3 4	
Military B-Government JJ O
sources B-Group NNS O
said O VBD O
troops B-Group NNS B-Attacker
were O VBD O
trying O VBG O
to O TO O
break O VB O
up O RP O
stone-throwing O JJ O
protests O NNS O
, O , O
but O CC O
did O VBD O
not O RB O
use O VB O
live O JJ O
fire O NN B-Attack-T

Attack 23 24	
On O IN O
Sunday B-Time NNP O
, O , O
Sharon B-Individual NNP O
's O POS O
Cabinet B-Government NNP O
conditionally O RB O
approved O VBD O
the O DT O
`` O `` O
road O NN O
map O NN O
, O , O
'' O '' O
a O DT O
three-phase O JJ O
plan O NN O
that O WDT O
begins O VBZ O
with O IN O
a O DT O
halt O NN O
to O TO O
violence O NN B-Attack-T
and O CC O
envisages O VBZ O
a O DT O
Palestinian B-Special JJ O
state B-Nation NN O
in O IN O
the O DT O
West B-Region-General NNP O
Bank I-Region-General NNP O
and O CC O
Gaza B-Region-General NNP O
Strip I-Region-General NNP O
in O IN O
2005 B-Time CD O

Attack 19 20	Place 2 3	Time-Within 11 12	Attacker 18 19	Instrument 20 21	
In O IN O
a O DT O
village B-Population-Center NN B-Place
near O IN O
the O DT O
West B-Region-General NNP O
Bank I-Region-General NNP O
city B-Population-Center NN O
of O IN O
Nablus B-Population-Center NNP O
on O IN O
Tuesday B-Time NNP B-Time-Within
, O , O
Israeli B-Nation NNP O
troops B-Group NNS O
opened O VBD O
fire O NN O
on O IN O
youths B-Group NNS B-Attacker
throwing O VBG B-Attack-T
stones B-Projectile NNS B-Instrument
, O , O
hitting O VBG O
a O DT O
9-year-old B-Time JJ O
Palestinian B-Special JJ O
boy B-Individual NN O
in O IN O
the O DT O
head O NN O
and O CC O
critically O RB O
wounding O VBG O
him B-Individual PRP O
, O , O
and O CC O
hitting O VBG O
two O CD O
12-year-old B-Time JJ O
boys B-Group NNS O
in O IN O
the O DT O
legs O NNS O
, O , O
lightly O RB O
wounding O VBG O
them B-Group PRP O
, O , O
Palestinian B-Special JJ O
hospital B-Medical-Science NN O
officials B-Group NNS O
said O VBD O

Attack 3 4	
The O DT O
sources B-Group NNS O
said O VBD O
shots O NNS B-Attack-T
had O VBD O
been O VBN O
fired O VBN O
in O IN O
the O DT O
air O NN O
when O WRB O
vehicles B-Land NNS O
tried O VBD O
to O TO O
skirt O NN O
the O DT O
roadblocks B-Building-Grounds NNS O

Attack 30 31	Target 36 37	
Peter B-Individual NNP O
Lundberg I-Individual NNP O
, O , O
an O DT O
official B-Individual NN O
from O IN O
the O DT O
Swedish B-Nation NNP O
Consulate B-Government NNP O
in O IN O
Jerusalem B-Population-Center NNP O
, O , O
said O VBD O
that O IN O
two O CD O
bullets B-Projectile NNS O
hit O VBD O
the O DT O
windshield O NN O
of O IN O
the O DT O
Swiss B-Nation JJ O
Consulate B-Government NNP O
's O POS O
armored O JJ O
car B-Land NN O
, O , O
and O CC O
that O IN O
small-arms O NNS O
fire O NN B-Attack-T
also O RB O
was O VBD O
directed O VBN O
at O IN O
other O JJ O
cars B-Land NNS B-Target
from O IN O
Sweden B-Nation NNP O
, O , O
Denmark B-Nation NNP O
and O CC O
the O DT O
European B-GPE-Cluster NNP O
Union I-GPE-Cluster NNP O

Attack 4 5	Target 2 3	Instrument 11 12	
A O DT O
10-year-old B-Time JJ O
boy B-Individual NN B-Target
was O VBD O
struck O VBN B-Attack-T
in O IN O
the O DT O
leg O NN O
by O IN O
a O DT O
rubber O NN O
bullet B-Projectile NN B-Instrument
, O , O
but O CC O
was O VBD O
not O RB O
seriously O RB O
hurt O VB O
, O , O
the O DT O
officials B-Group NNS O
said O VBD O

Attack 2 3	Attacker 1 2	Target 8 9	Target 13 14	Place 24 25	Time-Within 30 31	
Israeli B-Nation JJ O
soldiers B-Group NNS B-Attacker
shot O VBN B-Attack-T
and O CC O
killed O VBN O
a O DT O
16-year-old B-Time JJ O
Palestinian B-Special JJ O
boy B-Individual NN B-Target
and O CC O
wounded O VBD O
a O DT O
7-year-old B-Time JJ O
boy B-Individual NN B-Target
after O IN O
opening O VBG O
fire O NN O
at O IN O
stone B-Projectile NN O
throwers B-Group NNS O
in O IN O
the O DT O
Tulkarem B-Population-Center NNP O
refugee B-Group NN O
camp B-Building-Grounds NN B-Place
in O IN O
the O DT O
West B-Region-General NNP O
Bank I-Region-General NNP O
on O IN O
Tuesday B-Time NNP B-Time-Within
, O , O
Palestinian B-Special NNP O
hospital B-Medical-Science NN O
officials B-Group NNS O
said O VBD O

Attack 1 2	Attacker 6 7	Time-Within 22 49	
The O DT O
shootings O NNS B-Attack-T
_ O VBP O
which O WDT O
the O DT O
Israeli B-Nation JJ O
army B-Government NN B-Attacker
said O VBD O
came O VBD O
in O IN O
response O NN O
to O TO O
attacks O NNS O
by O IN O
Palestinians B-Group NNPS O
throwing O VBG O
stones B-Projectile NNS O
and O CC O
molotov O NN O
cocktails B-Exploding NNS O
_ O VBP O
came O VBD O
a B-Time DT B-Time-Within
day I-Time NN I-Time-Within
after I-Time IN I-Time-Within
Israeli B-Nation JJ I-Time-Within
Prime I-Time NNP I-Time-Within
Minister I-Time NNP I-Time-Within
Ariel I-Time NNP I-Time-Within
Sharon I-Time NNP I-Time-Within
declared I-Time VBD I-Time-Within
that I-Time IN I-Time-Within
Israel B-Nation NNP I-Time-Within
's I-Time POS I-Time-Within
occupation I-Time NN I-Time-Within
in I-Time IN I-Time-Within
the I-Time DT I-Time-Within
West B-Region-General NNP I-Time-Within
Bank I-Region-General NNP I-Time-Within
must I-Time MD I-Time-Within
end I-Time VB I-Time-Within
, I-Time , I-Time-Within
stunning I-Time JJ I-Time-Within
both I-Time CC I-Time-Within
dovish I-Time JJ I-Time-Within
opponents I-Time NNS I-Time-Within
and I-Time CC I-Time-Within
hardline I-Time NN I-Time-Within
allies I-Time NNS I-Time-Within

Attack 2 3	Attacker 1 2	Target 8 9	Target 13 14	Place 24 26	Time-Within 28 29	
Israeli B-Nation JJ O
troops B-Group NNS B-Attacker
shot O VBN B-Attack-T
and O CC O
killed O VBN O
a O DT O
16-year-old B-Time JJ O
Palestinian B-Special JJ O
boy B-Individual NN B-Target
and O CC O
critically O RB O
injured O JJ O
two O CD O
children B-Group NNS B-Target
, O , O
ages O NNS O
7 B-Time CD O
and O CC O
9 B-Time CD O
, O , O
during O IN O
conflicts O NNS O
in O IN O
the O DT O
West B-Region-General NNP B-Place
Bank I-Region-General NNP I-Place
that O IN O
erupted O VBD O
Tuesday B-Time NNP B-Time-Within
as O IN O
Israeli B-Nation NNP O
and O CC O
Palestinian B-Special JJ O
leaders B-Group NNS O
moved O VBD O
toward O IN O
talks O NNS O
on O IN O
a O DT O
new O JJ O
Mideast B-GPE-Cluster NN O
peace O NN O
plan O NN O

Attack 16 17	Place 2 3	Time-Within 11 12	Attacker 14 15	Target 18 19	
In O IN O
a O DT O
village B-Population-Center NN B-Place
near O IN O
the O DT O
West B-Region-General NNP O
Bank I-Region-General NNP O
city B-Population-Center NN O
of O IN O
Nablus B-Population-Center NNP O
on O IN O
Tuesday B-Time NNP B-Time-Within
, O , O
Israeli B-Nation NNP O
troops B-Group NNS B-Attacker
opened O VBD O
fire O NN B-Attack-T
on O IN O
youths B-Group NNS B-Target
throwing O VBG O
stones B-Projectile NNS O
, O , O
hitting O VBG O
a O DT O
9-year-old B-Time JJ O
Palestinian B-Special JJ O
boy B-Individual NN O
in O IN O
the O DT O
head O NN O
and O CC O
critically O RB O
wounding O VBG O
him B-Individual PRP O
, O , O
and O CC O
hitting O VBG O
two O CD O
12-year-old B-Time JJ O
boys B-Group NNS O
in O IN O
the O DT O
legs O NNS O
, O , O
lightly O RB O
wounding O VBG O
them B-Group PRP O
, O , O
Palestinian B-Special JJ O
hospital B-Medical-Science NN O
officials B-Group NNS O
said O VBD O

Attack 18 19	
Iraq B-Nation NNP O
, O , O
however O RB O
, O , O
took O VBD O
the O DT O
report O NN O
as O IN O
an O DT O
endorsement O NN O
of O IN O
its B-Nation PRP$ O
work O NN O
and O CC O
argued O VBD O
not O RB O
only O RB O
that O IN O
war O NN B-Attack-T
plans O NNS O
should O MD O
be O VB O
canceled O VBN O
, O , O
but O CC O
that O IN O
sanctions O NNS O
imposed O VBN O
on O IN O
it B-Nation PRP O
by O IN O
the O DT O
Security B-Non-Governmental NNP O
Council I-Non-Governmental NNP O
for O IN O
its B-Nation PRP$ O
1990 B-Time CD O
invasion O NN O
of O IN O
Kuwait B-Nation NNP O
should O MD O
be O VB O
removed O VBN O

Attack 12 13	
U.S. O NNP O
President B-Individual NNP O
George B-Individual NNP O
W. I-Individual NNP O
Bush I-Individual NNP O
said O VBD O
the O DT O
reports O NNS O
indicated O VBD O
that O IN O
only O RB O
a O DT O
war O NN B-Attack-T
will O MD O
make O VB O
Iraq B-Nation NNP O
disarm O VB O

Attack 23 24	
But O CC O
inspectors B-Group NNS O
also O RB O
questioned O VBD O
Iraq B-Nation NNP O
's O POS O
motivation O NN O
, O , O
as O IN O
it B-Nation PRP O
began O VBD O
to O TO O
give O VB O
the O DT O
inspectors B-Group NNS O
what O WP O
they B-Group PRP O
wanted O VBD O
only O RB O
when O WRB O
the O DT O
threat O NN O
of O IN O
war O NN B-Attack-T
became O VBD O
immediate O JJ O

Attack 24 25	Time-Starting 26 28	
Despite O IN O
Iraq B-Nation NNP O
's O POS O
demands O NNS O
of O IN O
the O DT O
Security B-Non-Governmental NNP O
Council I-Non-Governmental NNP O
, O , O
diplomats B-Group NNS O
were O VBD O
working O VBG O
hard O RB O
on O IN O
very O RB O
different O JJ O
proposals O NNS O
: O : O
a O DT O
U.S.-led O JJ O
plan O NN O
for O IN O
disarmament O NN O
or O CC O
war O NN B-Attack-T
by O IN O
March B-Time NNP B-Time-Starting
17 I-Time CD I-Time-Starting
, O , O
and O CC O
a O DT O
rival O JJ O
French B-Nation JJ O
plan O NN O
for O IN O
an O DT O
emergency O NN O
summit O NN O
of O IN O
Security B-Non-Governmental NNP O
Council I-Non-Governmental NNP O
members B-Group NNS O
to O TO O
come O VB O
up O RP O
with O IN O
a O DT O
compromise O NN O

Attack 37 38	Attacker 0 1	Time-Within 36 37	
Iraq B-Nation NNP B-Attacker
, O , O
however O RB O
, O , O
took O VBD O
the O DT O
report O NN O
as O IN O
an O DT O
endorsement O NN O
of O IN O
its B-Nation PRP$ O
work O NN O
and O CC O
argued O VBD O
not O RB O
only O RB O
that O IN O
war O NN O
plans O NNS O
should O MD O
be O VB O
canceled O VBN O
, O , O
but O CC O
that O IN O
sanctions O NNS O
imposed O VBN O
on O IN O
it B-Nation PRP O
by O IN O
the O DT O
Security B-Non-Governmental NNP O
Council I-Non-Governmental NNP O
for O IN O
its B-Nation PRP$ O
1990 B-Time CD B-Time-Within
invasion O NN B-Attack-T
of O IN O
Kuwait B-Nation NNP O
should O MD O
be O VB O
removed O VBN O

Attack 34 35	Place 4 5	Attacker 28 29	
Saddam B-Individual NNP O
has O VBZ O
long O RB O
claimed O VBN O
Iraq B-Nation NNP B-Place
destroyed O VBD O
all O DT O
its B-Nation PRP$ O
weapons B-Nuclear NNS O
of O IN O
mass O NN O
destruction O NN O
. O . O
The O DT O
United B-Nation NNP O
States I-Nation NNPS O
and O CC O
Britain B-Nation NNP O
claim O VBP O
he B-Individual PRP O
's O VBZ O
lying O VBG O
, O , O
and O CC O
have O VBP O
assembled O VBN O
a O DT O
quarter-million O JJ O
troops B-Group NNS B-Attacker
around O IN O
Iraq B-Nation NNP O
for O IN O
a O DT O
possible O JJ O
invasion O NN B-Attack-T

Attack 9 10	
The O DT O
post-Milosevic O JJ O
government B-Government NN O
later B-Time RB O
extradited O VBD O
him B-Individual PRP O
to O TO O
the O DT O
U.N. O NNP O
war O NN B-Attack-T
crimes O NNS O
tribunal B-Non-Governmental NN O
in O IN O
The O DT O
Hague B-Population-Center NNP O
, O , O
the O DT O
Netherlands B-Nation NNP O

Attack 28 29	Place 2 3	Target 19 20	Place 21 22	Place 23 24	Place 25 26	
Currently B-Time RB O
, O , O
Indonesia B-Nation NNP B-Place
uses O VBZ O
short-range O JJ O
Rapier B-Exploding NN O
missiles B-Exploding NNS O
purchased O VBD O
30 B-Time CD O
years I-Time NNS O
ago I-Time IN O
to O TO O
protect O VB O
its B-Nation PRP$ O
vital O JJ O
oil O NN O
and O CC O
natural O JJ O
gas O NN O
fields B-Building-Grounds NNS B-Target
in O IN O
Sumatra B-State-or-Province NNP B-Place
, O , O
Borneo B-State-or-Province NNP B-Place
and O CC O
Papua B-State-or-Province NNP B-Place
from O IN O
air O NN O
attack O NN B-Attack-T

Attack 7 8	Place 6 7	
Nearly O RB O
everybody B-Group NN O
in O IN O
Indonesia B-Nation NNP O
sees O VBZ O
this O DT O
Iraq B-Nation NNP B-Place
war O NN B-Attack-T
as O IN O
completely O RB O
unnecessary O JJ O
and O CC O
there O EX O
is O VBZ O
widespread O JJ O
public O JJ O
opposition O NN O
to O TO O
U.S. O NNP O
policies O NNS O
, O , O
'' O '' O
said O VBD O
Jusuf B-Individual NNP O
Wanadi I-Individual NNP O
of O IN O
the O DT O
Center B-Non-Governmental NNP O
for I-Non-Governmental IN O
Strategic I-Non-Governmental NNP O
and I-Non-Governmental CC O
International I-Non-Governmental NNP O
Studies I-Non-Governmental NNPS O
in O IN O
Jakarta B-Population-Center NNP O

Attack 27 28	Attacker 5 6	Attacker 6 7	Place 26 27	
Since O IN O
then O RB O
some B-Group DT O
in O IN O
the O DT O
Bush B-Individual NNP B-Attacker
administration B-Government NN B-Attacker
_ O NN O
particularly O RB O
Deputy O NNP O
Defense B-Government NNP O
Secretary B-Individual NNP O
Paul B-Individual NNP O
Wolfowitz I-Individual NNP O
, O , O
a O DT O
former B-Time JJ O
ambassador B-Individual NN O
to O TO O
Jakarta B-Nation NNP O
and O CC O
a O DT O
prime O JJ O
architect B-Individual NN O
of O IN O
the O DT O
Iraq B-Nation NNP B-Place
war O NN B-Attack-T
_ O NN O
have O VBP O
pushed O VBN O
for O IN O
the O DT O
ban O NN O
to O TO O
be O VB O
repealed O VBN O

Attack 7 8	
And O CC O
, O , O
broad O JJ O
opposition O NN O
to O TO O
the O DT O
U.S.-led O JJ O
attack O NN B-Attack-T
on O IN O
Iraq B-Nation NNP O
threatens O VBZ O
to O TO O
lead O VB O
to O TO O
a O DT O
backlash O NN O
by O IN O
militant O JJ O
Islamists B-Group NNPS O

Attack 19 20	Time-Starting 1 5	Attacker 14 17	
After O IN O
Sept. B-Time NNP B-Time-Starting
11 I-Time CD I-Time-Starting
, I-Time , I-Time-Starting
2001 I-Time CD I-Time-Starting
, O , O
Indonesia B-Nation NNP O
was O VBD O
quick O JJ O
to O TO O
sign O VB O
onto O IN O
U.S. O NNP O
President B-Individual NNP O
George B-Individual NNP B-Attacker
W. I-Individual NNP I-Attacker
Bush I-Individual NNP I-Attacker
's O POS O
global O JJ O
war O NN B-Attack-T
on O IN O
terror O NN O

Attack 10 11	
And O CC O
, O , O
currently B-Time RB O
, O , O
both B-Nation DT O
have O VBP O
opposed O VBN O
the O DT O
U.S.- O NN O
led O VBD O
war O NN B-Attack-T
on O IN O
Iraq B-Nation NNP O

Attack 4 5	Time-Within 0 2	Place 3 4	
Last B-Time JJ B-Time-Within
year I-Time NN I-Time-Within
's O POS O
Bali B-Population-Center NNP B-Place
bombings O NNS B-Attack-T
, O , O
which O WDT O
killed O VBD O
202 O CD O
people B-Group NNS O
, O , O
